,Aber,Bridgend,Brithdir,Cadoxton,Caerphilly,Caldicot,Cardiff Bay,Cardiff Central,Cardiff Queen Street,Cathays,Chepstow,Abercynon,Cogan,Coryton,Crosskeys,Cwmbach,Cwmbran,Danescourt,Dinas (Rhondda),Dinas Powys,Dingle Road,Eastbrook,Aberdare,Ebbw Vale Parkway,Ebbw Vale Town,Energlyn and Churchill Park,Fairwater,Fernhill,Garth (Bridgend County),Gilfach Fargoed,Grangetown (Cardiff),Heath High Level,Heath Low Level,Abergavenny,Abergavenny,Hengoed,Lisvane and Thornhill,Llanbradach,Llandaf,Llanharan,Llanhilleth,Llanhilleth,Llanishen,Llantwit Major,Llwynypia,Maesteg,Bargoed,Maesteg (Ewenny Road),Merthyr Tydfil,Merthyr Vale,Mountain Ash,Newbridge,Newport (South Wales),Ninian Park,Penarth,Pencoed,Pengam,Barry,Penrhiwceiber,Pentre-Bach,Pontlottyn,Pontyclun,Pontypool and New Inn,Pontypridd,Porth,Pye Corner,Pyle,Quakers Yard,Barry Docks,Radyr,Rhiwbina,Rhoose Cardiff International Airport,Rhymney,Risca and Pontymister,Rogerstone,Sarn,Severn Tunnel Junction,Taffs Well,Taffs Well,Tir-Phil,Barry Island,Ton Pentre,Tondu,Tonypandy,Trefforest,Trefforest Estate,Trefforest Estate,Trehafod,Treherbert,Treorchy,Troed-Y-Rhiw,Ty Glas,Birchgrove,Waun-gron Park,Whitchurch (Cardiff)
0,1585,2004,2925,1356,1808,2939,620,150,578,598,2906,2128,632,1288,2097,2670,2248,945,2157,1062,808,905,2817,3098,3337,1697,903,2537,2445,2542,366,1062,933,3420,3253,2210,1438,2072,1065,1723,2756,2711,1178,2174,2360,2771,2643,2577,2601,2578,2410,2504,1789,486,895,1685,2505,1647,2408,2569,2919,1580,2514,1850,2282,1683,2163,2290,1524,1135,1134,1939,2876,1954,1760,1770,2630,1250,1337,2875,1682,2678,1951,2097,1822,1683,1621,2108,3208,2872,2261,1056,1014,788,1176
1,1645,2052,2770,1403,1778,2953,540,165,404,615,3043,2128,736,1286,2036,2622,2321,956,2094,1061,870,841,2804,3222,3328,1704,857,2553,2498,2554,487,1002,973,3420,3304,2169,1465,2089,1038,1765,2756,2869,1179,2281,2374,2694,2641,2577,2579,2717,2532,2431,1831,483,853,1684,2426,1575,2432,2561,2993,1605,2512,1860,2276,1683,2215,2333,1509,1152,1123,1932,2895,1970,1835,1829,2725,1241,1571,2996,1663,2651,1912,2094,1898,1686,1577,2131,3202,2817,2702,1071,1041,785,1186
2,1620,1970,2942,1355,1605,2965,414,142,404,612,2962,2127,748,1277,1969,2638,2292,858,2101,1100,765,830,2928,3094,3223,1809,841,2568,2499,2545,475,982,1053,3422,3230,2215,1484,1886,992,1733,2756,2865,1233,2254,2391,2782,2617,2531,2620,2545,2475,2475,1856,434,902,1750,2426,1776,2484,2513,2975,1540,2501,1866,2414,1745,2165,2278,1481,1141,1121,1931,2972,1889,1813,1767,2661,1248,1459,2971,1780,2673,1919,2250,1857,1688,1580,2036,3193,2863,2684,1185,1041,777,1190
3,1613,2020,2765,1336,1778,2947,555,193,583,480,2978,2162,829,1211,1984,2631,2287,1009,2250,1055,846,828,2794,3092,3260,1850,899,2515,2513,2547,514,998,1060,3465,3221,2172,1446,1911,988,1762,2756,2690,1378,2252,2353,2734,2623,2546,2551,2784,2530,2451,1804,449,909,1750,2424,1641,2447,2711,2919,1636,2485,1875,2205,1758,2131,2278,1503,1064,1056,1933,2887,1917,1821,1866,2693,1226,1407,2994,1613,2690,1906,2117,1813,1688,1577,2101,3165,2864,2643,1066,951,789,1190
4,1575,2017,2761,1400,1652,2975,586,153,654,572,2900,2157,700,1171,1982,2621,2235,915,2284,1074,846,861,2836,3157,3414,1786,823,2586,2449,2539,580,1051,1001,3420,3309,2131,1449,1841,1008,1767,2756,2699,1329,2260,2289,2652,2620,2556,2693,2776,2540,2555,1801,433,953,1725,2421,1539,2450,2397,2922,1546,2379,1873,2319,1687,2180,2275,1594,1056,989,1882,3008,1916,1835,1880,2671,1241,1391,2988,1823,2826,1877,2192,1788,1686,1619,2034,3177,2868,2695,1091,1030,710,1143
5,1626,1954,2748,1366,1820,2987,421,133,537,622,2924,2115,700,1193,2120,2564,2173,923,2275,1100,883,873,2860,3171,3269,1610,905,2582,2382,2552,545,1048,1111,3458,3325,2149,1448,1896,1094,1759,2756,2598,1348,2228,2320,2668,2576,2504,2550,2789,2519,2537,1813,454,952,1819,2323,1692,2309,2491,2927,1546,2492,1894,2335,1695,2164,2276,1441,1245,1136,1882,2925,1900,1768,1888,2716,1241,1375,2919,1730,2676,1845,2175,1833,1692,1634,2033,3195,2859,2693,1037,1003,832,1017
6,1577,1913,2751,1368,1738,2792,473,117,347,650,2920,2128,828,1183,2112,2609,2197,872,2278,1095,848,781,2749,3192,3201,1744,832,2629,2444,2580,411,1002,1024,3452,3201,2190,1490,1928,1104,1780,2756,2687,1287,2087,2284,2643,2549,2596,2533,2555,2527,2555,1785,454,932,1681,2403,1540,2282,2442,2986,1615,2498,1907,2259,1776,2158,2200,1457,1115,994,1834,2924,1867,1795,1752,2696,1249,1454,2864,1792,2617,1849,2097,1836,1693,1577,2033,3178,2879,2691,1060,1040,778,1109
7,1652,2084,2753,1322,1578,2861,593,115,629,669,2934,2123,605,1164,2084,2613,2182,913,2110,1024,907,842,2869,3111,3252,1733,872,2606,2443,2498,495,1058,993,3452,3371,2115,1461,1896,1054,1767,2756,2740,1310,2208,2283,2757,2568,2506,2522,2534,2447,2414,1838,443,848,1689,2403,1539,2187,2438,3013,1592,2474,1943,2254,1677,2142,2231,1511,1027,1075,1882,2971,1931,1859,1749,2675,1239,1327,2981,1674,2641,1849,2130,1736,1696,1608,2098,3198,2903,2637,1025,953,754,1161
8,1595,1979,2741,1323,1642,2979,438,136,608,694,3082,2105,804,1113,2059,2592,2247,1007,2143,1096,853,899,2722,3129,3252,1755,880,2606,2454,2515,561,1010,995,3459,3338,2238,1418,1841,1027,1724,2757,2875,1256,2144,2248,2651,2545,2549,2534,2534,2515,2440,1932,455,1033,1689,2542,1562,2401,2685,3031,1596,2560,1839,2250,1681,2144,2331,1554,1354,1110,1933,2972,1944,1842,1948,2757,1236,1356,2857,1664,2624,1850,2187,1712,1691,1606,2032,3187,2823,2621,1122,1044,705,1089
9,1633,1955,2740,1366,1613,2880,600,96,480,524,2938,2138,825,1134,2123,2729,2175,866,2182,1055,907,926,2721,3074,3347,1757,802,2420,2393,2503,546,1042,1127,3460,3252,2106,1369,1841,961,1723,2756,2815,1259,2123,2378,2621,2591,2499,2899,2780,2402,2522,1800,410,938,1665,2420,1575,2378,2662,2989,1598,2491,1816,2249,1576,2149,2227,1549,1023,1094,1882,3003,1816,1808,1758,2705,1234,1323,2852,1678,2675,1882,2170,1819,1686,1624,2091,3195,2860,2661,1070,1171,720,1093
